"","id","interviewer","ORDER","TTO_BLOCK","DCE_BLOCK","STATE_ID","value","reversed","state_A","state_B","method","flagged","timing","wt","d_mo2","d_mo3","d_mo4","d_mo5","d_sc2","d_sc3","d_sc4","d_sc5","d_ua2","d_ua3","d_ua4","d_ua5","d_pd2","d_pd3","d_pd4","d_pd5","d_ad2","d_ad3","d_ad4","d_ad5","n45"
"95",2020277,24,10,3,12,24,0.2,0,11111,11421,"TTO",0,2020,0.616946395561154,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
"96",2020277,24,11,3,12,23,0.2,0,11111,25122,"TTO",0,2020,0.616946395561154,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
"97",2020277,24,12,3,12,21,0.5,0,11111,12244,"TTO",0,2020,0.616946395561154,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1
"98",2020277,24,13,3,12,17,0.5,0,11111,45233,"TTO",0,2020,0.616946395561154,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1
"99",2020277,24,14,3,12,81,0,0,11111,21111,"TTO",0,2020,0.616946395561154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",2020277,24,15,3,12,20,1.3,0,11111,52455,"TTO",0,2020,0.616946395561154,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
"101",2020277,24,16,3,12,18,0.5,0,11111,55233,"TTO",0,2020,0.616946395561154,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1
"102",2020277,24,17,3,12,22,0.4,0,11111,13313,"TTO",0,2020,0.616946395561154,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
"111",2020113,4,9,10,NA,82,0,0,11111,12111,"TTO",0,2020,0.750482011391626,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",2020113,4,10,10,NA,79,0.2,0,11111,34232,"TTO",0,2020,0.750482011391626,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
"113",2020113,4,11,10,NA,74,0.4,0,11111,52335,"TTO",0,2020,0.750482011391626,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1
"114",2020113,4,12,10,NA,76,0.8,0,11111,43555,"TTO",0,2020,0.750482011391626,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"115",2020113,4,13,10,NA,86,1.1,0,11111,55555,"TTO",0,2020,0.750482011391626,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"116",2020113,4,14,10,NA,77,0.55,0,11111,24445,"TTO",0,2020,0.750482011391626,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
